word,meaning
conduct,하다
conduct,행동하다
complete,완료하다
complete,완수하다
assignment,과제
assignment,일
assignment,임무
entire,전체의
release,공개하다
release,발매
release,발표하다
release,출시
press release,보도 자료
extension,(전화의)내선
extension,연기
extension,연장
extend,늘리다
extend,연장하다
extensive,광범위한
extensive,포괄적인
electronically,컴퓨터로
electronically,통신망으로
attendance,출근
attendance,출석
absolutely,완전히
absolutely,절대적으로
delegate,(권한 등을)위임하다
delegate,대표
delegation,(권한의)위임
delegation,대표단
attendantively,조심스럽게
attendantively,주의 깊게
supervision,감독
supervisor,감독관
workshop,연수
workshop,워크숍
draw,끌다
draw,끌어당기다
revision,개정
revision,수정
reluctantly,꺼려하여
reluctantly,마지못해
acquaint,~에게 숙지시키다
acquaint,잘 알게 하다
acquaintance,지인
convey,(용건을)전달하다
check,검사하다
check,조사하다
check,확인하다
examine,검사하다
headquarters,본부
file,(서류나 신청 혹은 고소 등을)정식으로 제기하다
file,(서류나 신청 혹은 고소 등을)제출하다
file,(서류를)정리하다
file,(서류를)철하다
file,고소하다
file,서류
file,파일
oversee,감독하다
involved,관계된
involved,관여하는
involved,연루된
concentrate,집중시키다
concentrate,집중하다
concentration,집중
a sheet of,~한 장
business card,명함
cartidge,잉크 카트리지
daily,날마다
daily,매일
daily,매일의
edit,수정하다
edit,편집하다
hand,건네주다
hand,손
in order to do,~하기 위해서
laptop,휴대용 컴퓨터
name tag,명찰
name tag,명패
on vacation,휴가 중인
paper jam,종이 걸림
paperwork,서류 작업
partition,분할
partition,칸막이
rush hour,교통 혼잡 시간
section,구역
section,부분
sheet,시트
sheet,종이
tabletop,테이블 윗면
telephone call,전화 통화
trash bin,쓰레기통
upstairs,위층에
upstairs,위층으로
upstairs,위층의
as if,마치 ~인 듯이
as well as,~뿐만 아니라
as well as,게다가
be aware of,~을 알고 있다
be known of,~으로 알려져 있다
be likely to,~할 가능성이 있다
detail,세부 사항
offering,제공된 것
on one's way,혼자 힘으로
on one's way,혼자서
